"InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","DateLastModified","ScientificName","Family","PreparationType","Preparations","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord"
"NMV","Ichthyology","A20596","1","","Neoceratodus  forsteri","Ceratodontidae","spirit specimen, whole","spirit specimen, whole","","-24.90000","151.50000","","","Australia","Queensland","","","","Burnett River","","","","","","","","Speci"
"NMV","Ichthyology","A20597","1","","Neoceratodus  forsteri","Ceratodontidae","spirit specimen, whole","spirit specimen, whole","","-24.90000","151.50000","","","Australia","Queensland","","","","Burnett River","","","","","","","","Speci"
"CU","CUMV-Fish","95838","1","2010-04-30TEastern Day:light Time","Neoceratodus forsteri","Ceratodontidae","dry skeleton","dry skeleton","","","","","","Australia","Queensland","","","","Brisbane River","","1986","0","0","Willy Bemis","","","voucher"
"ROM","Ichthyology","27880","1","2011-01-21 00:00:00","Neoceratodus forsteri","Ceratodontidae","","","","","","","","Australia","Unknown","Queensland","","","Brisbane River; near Mt. Cosby","","1970","7","6","Eiks, Robin","","","voucher"
"MCZ","Fish","8966","1","2009-10-20T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","skeleton","skeleton","","","","","","Australia","","","","","Bathurst River","","","","","Unknown collector","","","PreservedSpecimen"
"MCZ","Fish","9827","1","2009-10-20T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","skeleton","skeleton","","","","","","Australia","","","","","Bathurst River","","","","","Unknown collector","","","PreservedSpecimen"
"MCZ","Fish","24925","1","2009-10-20T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","whole animal (alcohol)","whole animal (alcohol)","","","","","","Australia","","","","","Murray River; Rec'd. 1881.","","","","","Thompson-Murray_M","","","PreservedSpecimen"
"MCZ","Fish","24968","1","2000-07-10T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","whole animal (alcohol)","whole animal (alcohol)","","","","","","Australia","","","","","Bathurst River","","","","","Unknown collector","","","PreservedSpecimen"
"MCZ","Fish","25109","1","1994-01-25T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","whole animal (alcohol)","whole animal (alcohol)","","","","","","Australia","","","","","Australia [no specific locality]","","","","","E Gerrard?? [very difficult to read] ","","","PreservedSpecimen"
"MCZ","Fish","25285","1","2009-10-20T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","whole animal (alcohol)","whole animal (alcohol)","","","","","","Australia","Queensland","","","","Queensland [no specific locality]","","","","","no agent","","","PreservedSpecimen"
"MCZ","Fish","25286","1","2009-10-20T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","whole animal (alcohol)","whole animal (alcohol)","","","","","","Australia","Queensland","","","","Queensland [no specific locality]","","","","","no agent","","","PreservedSpecimen"
"MCZ","Fish","33069","1","2009-10-20T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","whole animal (alcohol)","whole animal (alcohol)","","","","","","Australia","Queensland","","","","Burnet River","","","","","Bancroft_Dr TL","","","PreservedSpecimen"
"MCZ","Fish","33114","1","2009-10-20T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","whole animal (alcohol)","whole animal (alcohol)","","","","","","Australia","Queensland","","","","Boyne River near Mundubera.","","","","","Scheville_WE ","","","PreservedSpecimen"
"MCZ","Fish","33115","1","2009-10-20T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","whole animal (alcohol)","whole animal (alcohol)","","","","","","Australia","Queensland","","","","Burnet River, near Eidsvold","","","","","Bancroft_Dr TL","","","PreservedSpecimen"
"MCZ","Fish","30743","1","2009-10-20T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","whole animal (alcohol)","whole animal (alcohol)","","","","","","Australia","","","","","australia","","","","","Unknown collector via AMNH","","","PreservedSpecimen"
"MCZ","Fish","30744","1","2009-10-20T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","whole animal (alcohol)","whole animal (alcohol)","","","","","","Australia","","","","","australia","","","","","Unknown collector via AMNH","","","PreservedSpecimen"
"MCZ","Fish","54386","1","1992-03-04T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","skeleton","skeleton","","","","","","","No Data Available","","","","","","","","","no agent","","","PreservedSpecimen"
"MCZ","Fish","91330","1","1998-06-09T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","skeleton","skeleton","","","","","","","","","","","Aquarium specimen; no data.","","","","","New England Aquarium ","","","PreservedSpecimen"
"MCZ","Fish","96171","1","2009-10-20T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","whole animal (alcohol)","whole animal (alcohol)","","","","","","","No Data Available","","","","","","","","","no agent","","","PreservedSpecimen"
"MCZ","Fish","157440","1","2009-10-20T12:00:00Z","Neoceratodus forsteri","Ceratodontidae","whole animal (cleared and stained); skeleton; whole animal (alcohol)","whole animal (cleared and stained); skeleton; whole animal (alcohol)","","","","","","","","","","","Aquarium specimen; no data.","","","","","New England Aquarium ","","","PreservedSpecimen"
"YPM","ICH","ICH.017031","1","2009-10-31T02:04:09-04:00","Neoceratodus forsteri","Neoceratodontidae","10% form.->70% alc.","10% form.->70% alc.","","","","","","","","","","","","","","","","K. S. Thomson","","","S"
"YPM","ICH","ICH.011837","1","2009-10-31T02:04:09-04:00","Neoceratodus forsteri","Neoceratodontidae","cast","cast","","","","","","Australia","","","","","","","","","","","","","S"
"YPM","ICH","ICH.011979","1","2009-10-31T02:04:09-04:00","Neoceratodus forsteri","Neoceratodontidae","skeleton (incomplete)","skeleton (incomplete)","","","","","","Australia","","","","","","","","","","K. S. Thomson","","","S"
"YPM","ICH","ICH.011970","1","2009-10-31T02:04:09-04:00","Neoceratodus forsteri","Neoceratodontidae","skeleton","skeleton","","","","","","","","","","","","","","","","","","","S"
"YPM","ICH","ICH.011823","1","2009-10-31T02:04:09-04:00","Neoceratodus forsteri","Neoceratodontidae","skeleton","skeleton","","","","","","Australia","New South Wales","","","","","","","","","","","","S"
"YPM","ICH","ICH.011969","1","2009-10-31T02:04:09-04:00","Neoceratodus forsteri","Neoceratodontidae","skeleton","skeleton","","","","","","","","","","","","","","","","","","","S"
"MNHN","IC","a-0419","1","2002-05-27T00:00:00+02:00","Neoceratodus forsteri ","Ceratodontidae","","null","null","","","null","null","Australie","","","null","null","","null","1876","","","castelnau","null","null","S"
"MNHN","IC","a-7655","1","2002-05-27T00:00:00+02:00","Neoceratodus forsteri ","Ceratodontidae","","null","null","","","null","null","Australie","","","null","null","","null","1876","","","simon","null","null","S"
"MNHN","IC","a-7656","1","2002-05-27T00:00:00+02:00","Neoceratodus forsteri ","Ceratodontidae","","null","null","","","null","null","Australie","","","null","null","","null","","","","broca","null","null","S"
"MNHN","IC","1884-0354","1","2002-05-27T00:00:00+02:00","Neoceratodus forsteri ","Ceratodontidae","","null","null","","","null","null","Australie","","","null","null","","null","","","","inconnu       ,m.melbourne nmv","null","null","S"
"MNHN","IC","1892-0042","1","2002-05-27T00:00:00+02:00","Neoceratodus forsteri ","Ceratodontidae","","null","null","","","null","null","Australie","","","null","null","","null","","","","muller","null","null","S"
"MNHN","IC","1900-0298","1","2002-05-27T00:00:00+02:00","Neoceratodus forsteri ","Ceratodontidae","","null","null","","","null","null","Australie","","","null","null","","null","1900","","","o'connor","null","null","S"
"MNHN","IC","1901-0513","1","2002-05-27T00:00:00+02:00","Neoceratodus forsteri ","Ceratodontidae","","null","null","","","null","null","Australie","","","null","null","","null","1900","","","o'connor","null","null","S"
"KU","KUI","15329","","","Neoceratodus forsteri","Ceratodontidae","1 EtOH","1 EtOH","","0","0","","","Australia","","","","","unknown","","","","","","","",""
"KU","KUI","23717","","","Neoceratodus forsteri","Ceratodontidae","1 EtOH","1 EtOH","","0","0","","","Australia","","","","","Melbourne Aquarium","","","","","","","",""
"MNHN","IC","2007-1701","1","2008-05-28T00:00:00+02:00","Neoceratodus sp. ","Ceratodontidae","","null","null","","","null","null","","","","null","null","","null","","","","inconnu","null","null","S"
"MNHN","IC","ba-0003","","2010-01-28T00:00:00+01:00","Neoceratodus forsteri ","Ceratodontidae","","null","null","","","null","null","","","","null","null","","null","","","","inconnu","null","null","S"
"USNM","Vertebrate Zoology; Fishes","391018","1","2009-03-13T07:41:00Z","Neoceratodus forsteri","Ceratodontidae","Glycerine With Bone Stain","Glycerine With Bone Stain","","","","","","","","","","","No data.","null","","","","","null","null","null"
"KU","KUIT","3509","","","Neoceratodus fosteri","Ceratodontidae","100 Tissue","100 Tissue","","0","0","","","","","","","","Aquarium trade specimens, capture locality unknown","","","","","","","",""
"LACM","Fishes","26575","1","2010-11-18 00:00:00","Neoceratodus forsteri ","Ceratodontidae","","","","","","","","Australia","","","","","No data","","","","","","","","Voucher specimen(s)"
"USNM","Vertebrate Zoology; Fishes","327317","2","2003-04-21T08:11:00Z","Neoceratodus","Ceratodontidae","","","","","","","","","","","","","No Data","null","","","","","null","null","null"
"FMNH","Fishes","null","25","2009-06-11T16:15:00Z","Neoceratodus forsteri","Ceratodontidae","","","","","","","","Australia","Queensland","","","","Burnett River","","","","","","","","Lot"
"FMNH","Fishes","null","1","2009-06-11T15:55:00Z","Neoceratodus forsteri","Ceratodontidae","","","","","","","","Australia","Queensland","","","","Burnett River","","","","","","","","Lot"
"FMNH","Fishes","null","1","2009-06-12T10:42:00Z","Neoceratodus forsteri","Ceratodontidae","","","","","","","","Australia","Queensland","","","","Burnett River","","","","","","","","Lot"
"FMNH","Fishes","null","1","2008-09-13T23:56:00Z","Neoceratodus forsteri","Ceratodontidae","","","","","","","","Australia","New South Wales","","","","","","","","","","","","Lot"
"SAMA","Ichthyology","F00047","","","Neoceratodus forsteri : Ceratodontidae : : :","Ceratodontidae","","","","","","","","","QLD","","","","Queensland","","","","","","","",""
"SAMA","Ichthyology","F00048","","","Neoceratodus forsteri : Ceratodontidae : : :","Ceratodontidae","","","","","","","","","QLD","","","","No data","","","","","","","",""
"SAMA","Ichthyology","F01785","","","Neoceratodus forsteri : Ceratodontidae : : :","Ceratodontidae","","","","","","","","","QLD","","","","Burnett River","","","","","","","",""
"FMNH","Fishes","null","1","2008-09-10T01:54:00Z","Neoceratodus forsteri","Ceratodontidae","","","","","","","","Australia","Queensland","","","","Brisbane: captive born and raised, Queensland Fisheries Service","","","","","L. J. Rodgers","","","Lot"
"FMNH","Fishes","null","1","2008-09-10T07:25:00Z","Neoceratodus forsteri","Ceratodontidae","","","","","","","","Australia","Queensland","","","","","","","","","","","","Lot"
"USNM","Vertebrate Zoology; Fishes","332689","1","2009-04-03T14:52:00Z","Neoceratodus forsteri","Ceratodontidae","","","","","","","","Australia","","","","","No Data","null","1971","5","19","","null","null","null"
"USNM","Vertebrate Zoology; Fishes","40011","1","2009-04-03T14:53:00Z","Neoceratodus forsteri","Ceratodontidae","","","","","","","","Australia","Queensland","","","","Mary River, Australia","null","","","","Australian Museum, Sydney & Australian Museum, Sydney","null","null","null"
"USNM","Vertebrate Zoology; Fishes","296400","1","2009-04-03T14:53:00Z","Neoceratodus forsteri","Ceratodontidae","Wet Osteological Specimen","Wet Osteological Specimen","","","","","","Australia","","","","","","null","","","","","null","null","null"
"CU","CUMV-Fish","18","1","2009-01-16TEastern Sta:ndard Time","Neoceratodus sp.","Ceratodontidae","dry skeleton","dry skeleton","","","","","","","","","","","unspecified","","","","","","","","voucher"
"CU","CUMV-Fish","424","1","2009-01-16TEastern Sta:ndard Time","Neoceratodus sp.","Ceratodontidae","fluid","fluid","","","","","","Australia","","","","","unspecified","","1879","10","13","","","","voucher"
"CU","CUMV-Fish","425","1","2009-01-16TEastern Sta:ndard Time","Neoceratodus sp.","Ceratodontidae","fluid","fluid","","","","","","Australia","","","","","unspecified","","1879","10","13","","","","voucher"
"CU","CUMV-Fish","426","1","2009-01-16TEastern Sta:ndard Time","Neoceratodus sp.","Ceratodontidae","fluid","fluid","","","","","","Australia","","","","","unspecified","","1879","10","13","","","","voucher"
"CU","CUMV-Fish","2149","1","2009-01-16TEastern Sta:ndard Time","Neoceratodus sp.","Ceratodontidae","miscellaneous","miscellaneous","","","","","","Australia","","","","","unspecified","","","","","","","","voucher"
